season,date,reported_time,T_SFC,T_SFC_historical,RH_SFC,RH_SFC_historical,WindMagKmh_SFC,WindMagKmh_SFC_historical,DF_SFC,DF_SFC_historical,KBDI,KBDI_historical,soil_moisture,Curing,Curing_historical,grass_density_3km,forest_density_3km,shrub_density_3km,noveg_density_3km,primary_fuel_type,distance_to_interface,elevation_m,ruggedness_average_3km,building_density_3km,building_density_20km,road_density_km_in_3km,road_distance_m,FFDI,FFDI_historical,GFDI,GFDI_historical,uncontrolled_within_2_hrs,uncontrolled_within_4_hrs,uncontrolled_within_5_ha,uncontrolled_within_100_ha
2007-08,,,,23.5,,29.4,,10.5,,9.01,,108.1,0.6138051748275757,,88.0,0.9226354453627181,0.06767166615651464,0.0,0.009692888480767228,grass,0,165.0,0.58995,0,20,27.801883062224558,0.45863462291975704,,14.16,,7.31,0.0,0.0,0.0,0.0
2007-08,,,,18.8,,37.7,,29.4,,8.64,,72.8,0.6146588921546936,,68.0,0.9763544536271809,0.015406591164166922,0.0,0.008238955208652204,grass,5,234.0,1.3594,0,40,15.920342237846354,4.100820650705925,,19.67,,9.97,1.0,0.0,1.0,0.0
2007-08,,,,18.6,,39.0,,22.6,,7.18,,43.8,0.24492128193378448,,59.0,0.34708193041526375,0.28591470258136925,0.2970615243342516,0.06994184266911546,grass,1,127.0,14.0088,64,256,97.62044770416045,102.87282082399264,,11.6,,1.19,0.0,0.0,0.0,0.0
2007-08,,,,20.4,,30.3,,34.2,,8.22,,57.9,0.49793335795402527,,87.0,0.9692888480767269,0.02288031833486379,0.0,0.007830833588409327,grass,0,355.0,2.319075,1,27,22.787694898006876,14.123155151485596,,31.48,,42.33,1.0,0.0,1.0,0.0
2007-08,,,,23.1,,32.6,,27.0,,8.93,,78.3,0.09863954782485962,,59.0,0.5570349964289358,0.3170849913274156,0.012498724619936742,0.11338128762371184,grass,2,84.0,3.09275,41,972,52.00254296066245,200.59778743189258,,25.32,,3.21,0.0,0.0,0.0,0.0
2007-08,,,,17.9,,38.3,,21.1,,8.93,,78.3,0.31704360246658325,,59.0,0.07157432915008673,0.8684317926742169,0.02793082338536884,0.032063054790327505,forest,1,471.0,14.833075,0,141,96.02639299021875,41.19074318096043,,13.52,,2.81,0.0,0.0,0.0,0.0
2007-08,,,,8.1,,80.4,,8.0,,5.42,,22.1,0.1364537924528122,,26.0,0.12116110600959086,0.49875012753800635,0.2524742373227222,0.12761452912968063,forest,8,429.0,21.1099,16,1727,142.3322206323201,52.72001446284762,,0.79,,0.01,0.0,0.0,0.0,0.0
2007-08,,,,6.3,,81.4,,2.0,,9.82,,115.2,0.43649008870124817,,86.0,0.4799255178043057,0.38906744209774513,0.07180389756147332,0.05920314253647585,grass,8,93.0,1.3279,1,207,69.6711511667413,74.76134565134872,,0.99,,0.28,1.0,0.0,0.0,0.0
2007-08,,,,20.6,,36.7,,6.8,,9.86,,125.8,0.6235036849975586,,86.0,0.8394041424344455,0.00020406081012141618,0.09723497602285482,0.06315682073257826,grass,0,73.0,0.374475,5,115,52.74196106463484,32.85572719584186,,9.29,,2.94,1.0,0.0,0.0,0.0
2007-08,,,,22.2,,29.6,,6.9,,9.53,,101.4,0.5074744820594788,,87.0,0.44674012855831036,0.08953168044077135,0.44730129578614425,0.01642689521477403,shrub,12,362.0,6.363875,2,28,46.59365259897955,329.6218919192588,,12.11,,2.33,0.0,0.0,0.0,0.0
2007-08,,,,19.9,,45.8,,6.3,,8.99,,81.1,0.7869013547897339,,41.0,0.31124375063769005,0.1827364554637282,0.44217426793184367,0.06384552596673809,shrub,1,15.0,2.9082164328657316,0,6,65.55543302769338,3.225820305241328,,5.9,,0.05,1.0,1.0,0.0,0.0
2007-08,,,,11.9,,82.3,,3.0,,9.84,,116.4,0.13497063517570496,,91.0,0.5689725538210386,0.04772472196714621,0.0,0.38330272421181516,grass,0,25.0,1.212825,129,1319,339.3769828381485,1.0224616097281756,,1.21,,0.4,0.0,0.0,0.0,0.0
2007-08,,,,14.0,,62.9,,6.6,,6.97,,32.5,0.17559148371219635,,34.0,0.006529945923885318,0.4727068666462606,0.5099989796959494,0.01076420773390463,shrub,41,574.0,33.25035,0,7,21.69122408505418,19.50520292916598,,2.12,,0.01,1.0,0.0,0.0,0.0
2007-08,,,,19.8,,60.2,,3.2,,8.3,,60.0,0.08692735433578491,,56.0,0.5190031629425569,0.4188603203754719,0.0035710641771247833,0.058565452504846446,grass,1,118.0,8.543375,24,770,92.01239496014377,35.108918748198946,,2.9,,0.07,0.0,0.0,0.0,0.0
2007-08,,,,28.6,,17.3,,12.3,,10.0,,172.7,0.14994081854820251,,91.0,0.5013774104683195,0.28701152943577185,0.07139577594123049,0.14021528415467815,grass,1,32.0,1.95855,3,294,117.40115048038226,40.20706676981641,,30.54,,13.82,0.0,0.0,0.0,0.0
2007-08,,,,14.8,,77.4,,6.9,,9.99,,127.4,0.10355301201343536,,64.0,0.6597796143250688,0.28188450158147127,0.027879808182838486,0.030456075910621425,grass,5,49.0,2.417075,0,69,48.155193491953966,286.4493980933267,,1.9,,0.18,1.0,0.0,0.0,0.0
2007-08,,,,23.9,,38.1,,20.9,,8.63,,69.0,0.2586882710456848,,93.0,0.9552596673808795,0.012753800632588512,0.0,0.03198653198653196,grass,3,249.0,0.919825,0,37,30.70266237203179,7.530158010956927,,15.89,,20.5,,,1.0,0.0
2007-08,,,,24.0,,38.3,,13.0,,8.54,,66.4,0.25600430369377136,,49.0,0.9230945821854912,0.01053463932251811,0.030660136720742782,0.03571064177124788,grass,0,26.0,0.49685,14,729,47.12070000671555,6.841733058069027,,11.16,,0.31,0.0,0.0,0.0,0.0
2007-08,,,,23.1,,36.7,,15.8,,7.6,,44.2,0.18203802406787872,,51.0,0.0651719212325273,0.5789970411182532,0.3364707682889501,0.01936026936026941,forest,24,309.0,17.05695,0,387,54.57243679759479,145.31081320205632,,11.53,,0.31,1.0,1.0,0.0,0.0
2007-08,,,,26.2,,23.4,,7.0,,8.24,,58.3,0.4330582320690155,,44.0,0.003188450158147128,0.8634833180287725,0.12256402407917559,0.010764207733904699,forest,22,267.0,14.5504,0,65,41.48567566234153,285.8324075935454,,15.03,,0.09,1.0,1.0,0.0,0.0
2007-08,,,,16.3,,49.6,,10.5,,9.72,,110.2,0.3052920997142792,,98.0,0.9573257830833588,0.03193551678400163,0.0,0.010738700132639563,grass,12,115.0,0.258475,0,32,21.238609319958275,1079.458527362457,,5.93,,4.74,1.0,1.0,1.0,0.0
2007-08,,,,18.4,,42.4,,8.6,,10.0,,162.8,0.32172900438308716,,82.0,0.4919140903989389,0.12730843791449853,0.22719620446893174,0.15358126721763077,grass,2,38.0,1.74735,4,333,86.29588728139088,27.089782353704333,,7.75,,2.67,0.0,0.0,0.0,0.0
2007-08,,,,15.7,,48.9,,10.7,,9.57,,103.3,0.3623403012752533,,67.0,0.5198704213855729,0.3387154372002857,0.0013008876645240282,0.14011325374961736,grass,1,110.0,0.703975,8,594,88.02200452830593,7.912233244934926,,5.93,,1.07,0.0,0.0,0.0,0.0
2007-08,,,,13.8,,73.9,,7.7,,9.46,,98.3,0.29485657811164856,,72.0,0.4003928170594837,0.3715437200285685,0.19209774512804817,0.03596571778389962,grass,4,198.0,1.93965,0,4,43.24515157405859,83.44937332821577,,2.04,,0.54,0.0,0.0,0.0,0.0
2007-08,,,,20.6,,38.7,,3.3,,10.0,,144.8,0.07504595816135406,,92.0,0.09761759004183247,0.2951229466380981,0.5926691153963881,0.014590347923681302,shrub,1,104.0,2.251075,0,54,65.86106250139338,0.41546259034302746,,7.52,,1.61,0.0,0.0,0.0,0.0
2007-08,,,,8.5,,100.0,,2.8,,7.53,,42.6,0.10994742810726166,,45.0,0.18276196306499337,0.3400163248648097,0.19809203142536475,0.2791296806448322,forest,0,238.0,11.45395,8,1522,68.35149832283953,7.087228834692785,,0.45,,0.01,1.0,0.0,0.0,0.0
2007-08,,,,20.8,,34.0,,5.6,,10.0,,134.4,0.1534714251756668,,100.0,0.9491633506785022,0.025048464442403835,0.006300377512498724,0.019487807366595226,grass,2,126.0,0.561525,1,189,38.19175979540426,59.95849594580903,,9.85,,3.96,0.0,0.0,0.0,0.0
2007-08,,,,20.6,,33.9,,4.2,,10.0,,136.6,0.11671881377696991,,97.0,0.8104530149984696,0.04644934190388736,0.04836241199877563,0.09473523109886745,grass,1,126.0,0.79515,32,167,87.0624691100891,1.9086262381519497,,9.25,,2.94,0.0,0.0,0.0,0.0
2007-08,,,,17.3,,48.2,,7.3,,9.62,,105.3,0.13477540016174316,,77.0,0.7078869503111928,0.27747168656259563,0.0,0.014641363126211615,grass,0,407.0,7.828,0,122,46.228661643012146,8.643710145538416,,5.56,,1.43,0.0,0.0,0.0,0.0
2007-08,,,,18.8,,38.1,,3.8,,8.92,,78.0,0.14925646781921387,,70.0,0.5771094786246301,0.26913070094888275,0.010764207733904704,0.1429956126925824,grass,2,321.0,6.0002,58,151,191.4944182005823,32.8022616281598,,6.62,,0.66,0.0,0.0,0.0,0.0
2007-08,,,,20.1,,48.2,,4.7,,8.65,,69.5,0.06777535378932953,,66.0,0.9254412815018875,0.0006121824303642485,0.03461381491684522,0.039332721150903,grass,0,22.0,0.3656,13,517,64.14045863430158,0.4139431048966027,,4.92,,0.3,0.0,0.0,0.0,0.0
2007-08,,,,16.9,,48.0,,2.4,,9.41,,96.5,0.13387250900268555,,64.0,0.5699928578716458,0.41176920722375265,0.0,0.01823793490460157,grass,6,672.0,16.837475,2,239,42.12431093523687,120.93703680446849,,4.37,,0.39,0.0,0.0,0.0,0.0
2007-08,,,,17.9,,42.5,,3.5,,7.99,,52.4,0.17519772052764893,,44.0,0.14373533312927253,0.8352464034282217,0.005611672278338945,0.015406591164166848,forest,5,696.0,23.736025,0,18,35.300020345561066,318.0200038964244,,4.86,,0.03,1.0,1.0,1.0,0.0
